"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Eastern Michigan University - Michigan",19,19,15,19,19,19,19,19,18,18,18,18,18,18
"Concordia University Texas - Texas",19,18,18,19,18,19,19,20,19,20,19,18,18,20
"Concordia College - New York",19,17,20,18,17,,17,16,18,15,21,16,16,17
"Coastal Carolina University - South Carolina",19,19,19,19,20,20,19,19,18,18,20,20,20,20
"Cleveland Institute of Art - Ohio",19,20,19,20,20,20,19,19,19,18,20,20,19,20
"Clarke University - Iowa",19,18,19,20,20,20,20,20,20,21,20,21,20,19
"Charleston Southern University - South Carolina",19,20,20,20,20,20,19,18,18,19,21,18,18,16
"Central Connecticut State University - Connecticut",19,17,19,19,19,20,20,19,20,20,,,,
"North Park University - Illinois",19,19,19,19,18,19,19,19,20,19,19,19,19,19
"Central College - Iowa",19,19,20,21,21,20,21,21,21,21,21,19,19,21
"Northern State University - South Dakota",19,19,19,19,17,19,19,19,19,19,18,19,18,17
"Northwest Missouri State University - Missouri",19,19,19,20,20,20,20,20,20,20,20,19,20,19
"Northwest Nazarene University - Idaho",19,20,20,20,21,20,20,21,21,,,,,
"Concordia University Ann Arbor - Michigan",19,18,19,19,19,19,19,19,19,19,18,20,20,19
"Northwest University - Washington",19,20,21,19,20,19,19,19,20,19,17,18,19,18
"Mississippi University for Women - Mississippi",19,18,18,18,18,18,18,18,18,18,18,18,18,18
"Minnesota State University Moorhead - Minnesota",19,19,20,20,20,20,20,20,20,20,19,19,19,19
"King University - Tennessee",19,20,19,18,,19,20,20,19,20,20,19,,21
"Kettering College - Ohio",19,20,20,21,,,,20,20,21,20,19,20,19
"Kennesaw State University - Georgia",19,20,21,21,21,21,,,,,,,,
"Limestone University - South Carolina",19,18,18,17,19,16,20,20,17,15,15,17,18,17
"Lincoln Memorial University - Tennessee",19,19,19,19,19,19,19,19,20,20,18,18,18,19
"Lindenwood University - Missouri",19,20,20,20,20,20,20,20,20,20,20,20,20,21
"Lubbock Christian University - Texas",19,18,18,19,19,19,19,19,19,19,18,18,17,18
"Maine Maritime Academy - Maine",19,22,21,18,21,19,19,20,19,18,,18,17,18
"Malone University - Ohio",19,19,19,19,19,19,20,19,20,20,19,20,20,20
"Indiana University-Purdue University-Indianapolis - Indiana",19,19,19,19,19,19,19,19,19,19,19,19,18,18
"Husson University - Maine",19,19,17,20,17,18,,,,,,,,
"Minnesota State University-Mankato - Minnesota",19,19,19,20,20,20,19,20,20,20,20,20,20,20
"Huntingdon College - Alabama",19,17,19,19,19,19,20,19,19,19,19,19,18,19
"Heidelberg University - Ohio",19,18,19,19,19,19,19,,,,18,18,19,19
"Hastings College - Nebraska",19,18,19,20,20,20,20,21,20,20,20,19,19,20
"Hannibal-LaGrange University - Missouri",19,18,,,,,,19,17,20,21,20,19,20
"Georgia Southwestern State University - Georgia",19,17,18,19,19,18,18,18,18,17,18,17,18,17
"Mercy College of Health Sciences - Iowa",19,,,18,19,,,,,,,,17,19
"George Fox University - Oregon",19,19,21,21,21,21,20,20,21,21,21,20,19,21
"Meredith College - North Carolina",19,18,19,20,21,20,,20,19,18,19,19,19,18
"Franklin College - Indiana",19,18,18,19,19,19,20,19,19,20,19,19,18,18
"Framingham State University - Massachusetts",19,19,18,19,20,19,20,19,21,20,20,,,
"Flagler College - Florida",19,,20,21,22,21,21,21,22,22,21,21,21,22
"Farmingdale State College - New York",19,19,20,19,19,19,19,19,19,,,,,
"Henderson State University - Arkansas",19,19,19,19,19,18,18,19,18,18,19,18,20,19
"Carson-Newman University - Tennessee",19,19,20,20,20,19,21,20,20,20,20,20,20,19
"LaGrange College - Georgia",19,19,20,20,20,20,20,19,19,20,20,19,19,19
"Northwood University - Michigan",19,18,19,20,20,20,19,20,20,20,19,19,19,18
"Bridgewater State University - Massachusetts",19,20,19,18,19,19,19,19,20,21,20,19,19,19
"Brescia University - Kentucky",19,20,19,19,20,19,20,19,19,19,18,18,18,19
"Benedictine University - Illinois",19,19,20,19,,,19,19,19,19,20,20,20,20
"Purdue University Fort Wayne - Indiana",19,18,18,18,18,19,19,19,19,18,18,18,18,18
"Belhaven University - Mississippi",19,,,,,,,19,20,19,19,21,20,19
"Piedmont University - Georgia",19,18,19,19,19,19,19,19,20,20,18,18,18,18
"Reinhardt University - Georgia",19,19,18,18,18,18,18,18,18,,17,,17,17
"Bryn Athyn College of the New Church - Pennsylvania",19,17,21,19,18,18,15,20,19,17,20,19,18,
"American College of the Building Arts - South Carolina",19,16,,,,,,,,,,,,
"Quincy University - Illinois",19,19,18,19,18,19,19,20,19,19,19,19,19,18
"Ashland University - Ohio",19,19,20,20,20,20,20,20,20,20,20,19,20,19
"Baker University - Kansas",19,20,20,21,20,20,20,21,21,21,21,20,20,20
"Purdue University Northwest - Indiana",19,18,19,19,,,,,,,,,,
"Austin Peay State University - Tennessee",19,19,19,19,19,19,19,19,19,19,19,20,19,19
"Aurora University - Illinois",19,18,19,19,19,19,19,19,20,20,20,20,19,20
"Aultman College of Nursing and Health Sciences - Ohio",19,20,19,20,20,21,20,22,21,20,20,21,21,
"Baptist Health Sciences University - Tennessee",19,20,19,19,19,23,23,22,22,22,21,22,21,21
"Oregon State University-Cascades Campus - Oregon",19,20,21,21,22,20,,,,,,,,
"Bemidji State University - Minnesota",19,19,19,20,20,19,19,19,20,19,19,19,9,
"California State Polytechnic University-Pomona - California",19,19,19,20,20,20,20,20,20,21,19,18,18,18
"Adrian College - Michigan",19,19,19,19,19,19,19,19,19,19,20,21,20,20
"Carlow University - Pennsylvania",19,19,19,20,19,19,17,17,17,18,19,19,18,19
"Campbell University - North Carolina",19,20,19,20,19,19,17,17,19,17,19,22,,
"Olivet Nazarene University - Illinois",19,19,20,20,21,20,21,21,21,20,20,19,19,19
"Oral Roberts University - Oklahoma",19,18,19,20,19,19,19,20,20,20,20,20,20,19
"Augusta University - Georgia",19,19,20,20,19,20,19,18,,,,,,
"Albion College - Michigan",19,21,20,20,20,21,22,22,22,22,22,23,22,23
"Jacksonville State University - Alabama",18,18,19,19,20,20,19,19,19,18,17,17,17,16
"Anderson University - Indiana",18,20,19,19,19,21,21,21,21,20,22,21,20,20
"Wright State University-Main Campus - Ohio",18,18,18,19,18,19,,,,,,,,
"University of Central Oklahoma - Oklahoma",18,19,19,19,19,19,18,20,19,19,19,19,19,19
"Trinity Bible College and Graduate School - North Dakota",18,17,17,17,17,17,18,,,,,,,
"Hardin-Simmons University - Texas",18,18,18,18,19,19,20,20,20,20,20,19,19,19
"Kentucky Wesleyan College - Kentucky",18,20,19,19,18,20,19,19,19,19,19,19,19,18
"Jacksonville University - Florida",18,18,21,21,,,,19,20,20,19,19,18,18
"Gwynedd Mercy University - Pennsylvania",18,17,18,17,16,18,18,16,18,17,,,17,
"Grand View University - Iowa",18,17,18,18,18,18,18,19,18,19,18,18,18,18
"University of Connecticut-Waterbury Campus - Connecticut",18,17,19,21,21,17,19,19,20,18,18,17,17,19
"Auburn University at Montgomery - Alabama",18,19,19,19,19,19,19,18,21,18,18,18,18,18
"John A Gupton College - Tennessee",18,18,6,1,12,18,,,,,,,,
"Georgia Southern University - Georgia",18,20,21,22,22,21,22,21,21,21,21,21,20,20
"Youngstown State University - Ohio",18,18,18,19,18,18,18,,,,,,,
"Troy University - Alabama",18,18,18,18,18,19,19,18,18,17,18,17,17,17
"Worsham College of Mortuary Science - Illinois",18,,,,,,,,,,,,,
"Holy Family University - Pennsylvania",18,18,18,,,,17,16,18,,19,17,19,19
"Judson College - Alabama",18,17,17,18,19,19,,19,18,19,18,19,19,17
"Wilson College - Pennsylvania",18,19,18,21,20,18,20,19,18,19,16,18,21,20
"Indiana University-South Bend - Indiana",18,17,17,18,18,18,17,18,18,19,17,17,17,17
"Wright State University-Lake Campus - Ohio",18,18,18,18,19,18,,,,,,,,
"Union College - Nebraska",18,17,18,19,18,19,19,19,19,19,19,20,20,19
"Wilmington College - Ohio",18,18,18,19,18,19,18,19,18,18,17,18,18,18
"Tuskegee University - Alabama",18,18,17,18,21,18,21,18,17,17,17,16,17,17
"Williams Baptist University - Arkansas",18,18,17,18,18,19,19,19,19,19,19,19,19,19
"William Peace University - North Carolina",18,18,18,17,16,15,16,16,17,18,14,16,17,15
"University of Alaska Fairbanks - Alaska",18,17,18,17,19,18,,,,,18,17,18,18
"Indiana University-East - Indiana",18,17,17,18,18,18,18,18,18,18,17,17,18,17
"University of Arkansas at Little Rock - Arkansas",18,19,18,19,19,18,20,20,19,19,,,,
"Indiana University of Pennsylvania-Main Campus - Pennsylvania",18,16,17,17,17,17,17,17,,,,,,
"Tusculum University - Tennessee",18,18,18,17,18,18,19,18,18,19,19,19,19,18
"Johnson University - Tennessee",18,19,20,19,18,19,19,19,19,20,19,20,19,23
"Huntington University - Indiana",18,18,19,20,18,19,20,21,21,21,20,20,21,20
"Hope International University - California",18,16,19,17,18,16,17,17,17,18,20,19,21,18
"John Paul the Great Catholic University - California",18,21,20,20,22,22,21,20,,,,,,
"Ferris State University - Michigan",18,18,19,19,19,19,19,19,19,19,18,18,18,18
"Friends University - Kansas",18,19,18,19,19,19,19,18,18,19,19,19,19,17
"Crown College - Minnesota",18,18,18,18,19,19,19,18,19,21,20,19,16,19
"Black Hills State University - South Dakota",18,18,18,18,19,19,18,19,18,19,19,18,19,18
"Vanguard University of Southern California - California",18,18,17,18,17,18,17,18,19,18,,18,18,19
"California Baptist University - California",18,18,19,19,19,17,18,18,18,18,19,20,18,17
"University of Pittsburgh-Bradford - Pennsylvania",18,17,20,20,19,18,19,19,19,18,19,17,18,19
"Colorado State University Pueblo - Colorado",18,18,18,18,18,18,18,18,18,18,18,18,18,18
"Ursuline College - Ohio",18,17,19,18,19,19,18,19,18,19,19,18,18,18
"Cleveland State University - Ohio",18,19,19,19,19,19,19,19,19,18,18,17,17,16
"Upper Iowa University - Iowa",18,19,18,18,17,17,17,19,19,19,17,17,17,19
"University of South Carolina Aiken - South Carolina",18,17,17,18,18,18,18,18,18,18,18,18,18,18
"Chaminade University of Honolulu - Hawaii",18,19,20,19,19,19,19,19,19,19,18,17,17,18
"Central Methodist University-College of Liberal Arts and Sciences - Missouri",18,19,20,20,20,20,20,19,19,20,19,19,19,19
"California State University-Chico - California",18,18,18,19,19,19,19,19,19,20,19,19,18,19
"University of Wisconsin-Superior - Wisconsin",18,18,19,18,19,19,19,19,20,20,20,20,20,20
"Central Baptist College - Arkansas",18,17,16,18,19,18,19,18,19,19,20,19,18,15
"California State University-Fullerton - California",18,19,19,19,19,19,19,19,19,18,18,18,17,17
"University of Wisconsin-Green Bay - Wisconsin",18,18,19,20,20,21,20,21,21,21,20,20,20,21
"University of the Ozarks - Arkansas",18,18,19,18,19,20,20,20,20,20,19,20,19,20
"Cedar Crest College - Pennsylvania",18,18,18,19,19,19,20,17,20,20,22,21,20,20
"Culver-Stockton College - Missouri",18,18,18,18,18,18,19,18,18,18,19,19,18,18
"Gardner-Webb University - North Carolina",18,19,18,19,18,18,19,19,18,18,18,17,19,18
"Belmont Abbey College - North Carolina",18,19,19,18,18,19,18,18,20,19,20,,17,18
"University of New Orleans - Louisiana",18,20,20,20,20,20,21,21,20,19,20,19,20,20
"University of Indianapolis - Indiana",18,19,19,19,20,20,19,19,19,19,19,19,19,19
"Florida College - Florida",18,20,20,18,20,19,20,20,19,17,20,19,19,20
"Avila University - Missouri",18,19,19,19,19,18,20,20,20,20,20,20,20,19
"University of Virginia's College at Wise - Virginia",18,18,18,17,18,17,17,17,17,17,16,17,17,16
"Faulkner University - Alabama",18,18,18,18,18,18,,,,17,18,18,18,18
"Baptist Health College Little Rock - Arkansas",18,18,18,19,18,21,19,19,19,20,19,18,19,21
"Western Illinois University - Illinois",18,18,18,18,18,18,18,18,18,18,19,19,19,19
"Emory & Henry College - Virginia",18,18,18,19,19,18,18,18,19,21,18,19,19,20
"Emmaus Bible College - Iowa",18,18,19,19,20,20,19,,,,,,,
"Edinboro University of Pennsylvania - Pennsylvania",18,18,17,17,16,17,16,17,17,17,16,16,16,16
"West Texas A & M University - Texas",18,17,19,19,18,18,18,19,18,18,18,18,18,18
"Beckfield College-Florence - Kentucky",18,18,,,,,,,,,,,,
"Eastern Illinois University - Illinois",18,18,18,18,18,19,19,19,19,19,19,19,19,19
"East Central University - Oklahoma",18,17,18,18,17,18,19,18,18,18,17,18,18,18
"Wesleyan College - Georgia",18,17,18,21,19,,,17,17,18,18,20,19,19
"Dillard University - Louisiana",18,19,,18,18,17,17,17,16,16,16,15,16,16
"University of Nebraska at Omaha - Nebraska",18,19,19,19,19,19,19,20,19,20,20,20,20,20
"Delta State University - Mississippi",18,18,18,18,19,18,18,18,18,18,17,17,18,17
"Delaware Valley University - Pennsylvania",18,18,19,19,18,18,18,19,19,20,20,20,20,21
"Dakota Wesleyan University - South Dakota",18,19,19,20,19,18,18,19,18,17,18,18,19,18
"Roosevelt University - Illinois",18,21,21,20,19,19,20,19,20,19,19,20,19,19
"Blue Mountain College - Mississippi",18,18,19,18,18,18,18,18,,18,,,,
"Texas A&M University-San Antonio - Texas",18,18,17,17,16,,,,,,,,,
"Mount Saint Mary's University - California",18,17,17,16,17,16,15,16,16,17,17,17,,
"Tabor College - Kansas",18,17,18,18,18,19,20,18,19,19,19,19,19,18
"Tarleton State University - Texas",18,18,18,18,18,18,18,19,18,18,18,18,18,18
"McKendree University - Illinois",18,19,20,19,20,19,20,20,20,19,19,19,19,21
"Mayville State University - North Dakota",18,18,18,18,18,,,,,,,,,
"Shorter University - Georgia",18,18,18,17,18,18,17,18,18,18,18,18,17,17
"Texas A & M University-Corpus Christi - Texas",18,19,18,17,17,17,18,17,18,17,,,17,16
"Randall University - Oklahoma",18,18,17,17,17,15,18,18,16,17,17,17,16,16
"Sierra Nevada University - Nevada",18,18,18,19,18,18,18,,,19,19,20,16,20
"Mary Baldwin University - Virginia",18,18,18,19,18,19,19,18,19,19,17,18,20,18
"Marion Military Institute - Alabama",18,18,19,19,19,19,19,18,19,19,18,18,18,
"Old Dominion University - Virginia",18,18,18,18,18,18,18,18,18,18,18,18,18,19
"Randolph College - Virginia",18,19,18,19,20,19,20,21,20,20,21,21,,23
"Oklahoma Wesleyan University - Oklahoma",18,18,16,18,18,18,18,18,18,18,,,,
"Southwestern Oklahoma State University - Oklahoma",18,18,18,18,18,18,19,18,18,18,18,18,18,18
"McMurry University - Texas",18,18,18,17,18,16,16,18,18,17,17,17,17,18
"Rhode Island College - Rhode Island",18,16,16,15,16,16,16,17,17,16,17,18,17,
"Mercy College - New York",18,17,,,,,,,,,,,,
"SUNY Morrisville - New York",18,17,17,18,17,17,18,17,20,17,22,18,,
"Midway University - Kentucky",18,19,19,18,18,,,19,18,18,18,18,18,
"Minot State University - North Dakota",18,17,18,19,18,19,20,19,20,19,19,19,20,17
"Point Park University - Pennsylvania",18,19,20,19,19,19,19,19,20,20,19,19,19,19
"Midland University - Nebraska",18,18,18,18,19,18,17,18,19,20,19,18,18,19
"Missouri Baptist University - Missouri",18,19,19,18,18,18,19,19,19,19,19,19,19,19
"SUNY College at Plattsburgh - New York",18,19,21,21,21,21,20,20,20,20,20,20,20,19
"Sterling College - Kansas",18,18,17,18,18,19,18,19,19,19,19,18,18,18
"San Diego Christian College - California",18,17,16,16,17,17,19,19,18,19,18,19,17,18
"Missouri Southern State University - Missouri",18,18,18,19,18,19,18,18,18,18,18,19,19,17
"Sam Houston State University - Texas",18,19,19,19,19,19,19,19,19,19,18,19,17,18
"Stephen F Austin State University - Texas",18,19,18,18,19,19,19,19,19,18,18,18,18,18
"Ottawa University-Surprise - Arizona",18,17,15,,,,,,,,,,,
"Saint Xavier University - Illinois",18,19,19,19,19,19,19,19,20,20,20,20,20,20
"Methodist University - North Carolina",18,17,18,18,17,17,18,18,17,17,18,18,17,18
"Ottawa University-Ottawa - Kansas",18,17,17,18,,,,19,,18,19,,18,19
"Mercy College of Ohio - Ohio",18,18,,,,,,,,,,,,
"Saint Cloud State University - Minnesota",18,18,18,18,18,19,19,19,19,19,19,19,19,19
"Summit Christian College - Nebraska",18,,18,18,18,17,17,,15,17,14,19,15,19
"Ripon College - Wisconsin",18,19,20,20,21,21,21,21,21,22,22,20,21,21
"Rocky Mountain College - Montana",18,19,20,20,20,20,19,19,20,21,20,17,20,19
"Southern Wesleyan University - South Carolina",18,17,18,,,,,15,20,20,18,18,17,17
"Lees-McRae College - North Carolina",18,,,,,,,,18,19,19,19,18,18
"Life University - Georgia",18,15,16,17,17,,,,,16,17,18,18,18
"Lancaster Bible College - Pennsylvania",18,18,20,20,19,19,18,16,18,19,19,18,17,19
"Rutgers University-Newark - New Jersey",18,19,19,,,,,,,,,,,
"North Greenville University - South Carolina",18,19,21,19,20,20,22,21,21,20,21,21,18,17
"Longwood University - Virginia",18,17,18,18,18,18,19,19,19,20,21,21,21,
"Louisiana College - Louisiana",18,18,19,19,18,18,18,18,17,17,17,16,17,16
"North Central University - Minnesota",18,18,19,17,19,19,20,19,19,19,19,18,18,19
"Southern Oregon University - Oregon",18,18,19,20,19,19,20,,19,19,,,19,20
"Lake Erie College - Ohio",18,,17,18,18,19,18,19,19,19,17,18,18,17
"Louisiana State University-Alexandria - Louisiana",18,17,18,18,18,18,19,18,19,19,19,18,18,
"Brenau University - Georgia",17,17,17,17,19,19,,19,,,,,19,19
"California University of Pennsylvania - Pennsylvania",17,17,17,16,16,17,17,17,,,,,17,17
"Mount Carmel College of Nursing - Ohio",17,18,19,19,19,19,20,20,20,20,20,19,8,16
"Cabarrus College of Health Sciences - North Carolina",17,19,20,19,20,19,20,21,18,19,19,19,19,19
"Dickinson State University - North Dakota",17,18,18,18,18,18,18,18,18,16,,,,
"Schreiner University - Texas",17,17,18,19,19,19,19,19,19,19,18,18,18,18
"Blackburn College - Illinois",17,18,18,18,18,19,18,19,19,18,18,19,18,20
"University of West Georgia - Georgia",17,18,18,18,18,18,18,18,18,19,18,18,18,18
"Montreat College - North Carolina",17,17,18,17,18,18,18,17,18,18,19,18,18,
"University of West Alabama - Alabama",17,18,18,18,18,18,19,18,18,18,18,17,15,16
"Northeastern State University - Oklahoma",17,18,18,19,19,19,19,18,18,18,18,18,18,18
"University of South Carolina-Upstate - South Carolina",17,17,17,17,18,18,18,19,19,18,18,19,19,18
"Northwestern Oklahoma State University - Oklahoma",17,17,17,17,18,18,18,17,17,17,17,17,18,18
"Bridgewater College - Virginia",17,18,18,18,20,20,21,20,19,20,18,19,18,18
"Northwestern State University of Louisiana - Louisiana",17,19,19,19,19,19,20,19,19,19,18,18,18,18
"Waldorf University - Iowa",17,17,17,18,18,18,17,19,18,16,18,18,18,18
"Central Washington University - Washington",17,17,17,17,18,17,18,18,18,18,18,18,18,18
"Catawba College - North Carolina",17,17,18,18,18,18,,,18,,18,19,18,19
"Pacific Union College - California",17,17,18,18,17,18,19,18,18,18,18,16,17,
"Eastern New Mexico University-Main Campus - New Mexico",17,17,17,16,17,17,17,17,17,17,17,17,17,16
"Cardinal Stritch University - Wisconsin",17,18,18,18,18,20,19,20,19,19,20,19,19,19
"Columbia College - South Carolina",17,,,17,18,18,20,20,19,19,19,18,18,18
"Defiance College - Ohio",17,17,17,18,18,19,18,18,18,18,19,19,18,18
"Delaware State University - Delaware",17,16,17,17,17,17,17,16,16,16,15,15,15,14
"Columbia International University - South Carolina",17,18,17,17,20,20,18,19,20,20,20,20,19,18
"Southwestern College - Kansas",17,18,18,18,18,19,19,20,19,19,19,19,19,19
"Columbus State University - Georgia",17,18,18,18,17,17,18,19,18,17,17,17,17,17
"California State University-Monterey Bay - California",17,17,17,18,,,,18,18,18,18,18,17,17
"University of Wisconsin-Parkside - Wisconsin",17,17,18,18,18,18,19,19,18,18,18,18,17,18
"College of Mount Saint Vincent - New York",17,18,18,18,17,18,19,17,16,20,,,,
"California State University-Sacramento - California",17,16,16,17,17,17,17,17,17,17,17,18,18,17
"North Carolina A & T State University - North Carolina",17,17,17,17,18,17,17,17,17,16,17,16,15,15
"Southwestern Adventist University - Texas",17,17,16,18,17,17,16,17,,,16,19,18,
"Southwest Minnesota State University - Minnesota",17,18,17,18,18,19,19,19,19,19,19,19,19,18
"Elmira College - New York",17,21,,,,,21,20,21,24,22,23,23,23
"University of Saint Katherine - California",17,17,17,,,,,,,,,,,
"Coppin State University - Maryland",17,15,16,16,15,16,,,,,,,,
"Corban University - Oregon",17,19,20,21,20,21,18,20,19,20,20,19,19,20
"California State Polytechnic University-Humboldt - California",17,17,18,18,18,18,18,18,18,19,19,18,19,19
"University of Saint Mary - Kansas",17,18,19,19,19,19,19,19,19,18,19,18,19,18
"New Mexico State University-Main Campus - New Mexico",17,18,17,18,18,18,18,18,18,18,18,18,17,17
"California State University-San Marcos - California",17,17,17,18,18,18,17,18,18,17,18,18,18,17
"University of North Carolina at Pembroke - North Carolina",17,17,17,18,18,18,18,18,17,17,16,17,16,16
"Valley City State University - North Dakota",17,18,18,18,18,18,19,18,18,18,18,18,18,18
"St. Francis College - New York",17,17,,20,18,17,,,,,,,,
"Sonoma State University - California",17,17,18,19,19,19,18,19,19,20,20,19,19,19
"Clark Atlanta University - Georgia",17,17,18,17,18,16,16,17,17,18,18,18,17,15
"Cabrini University - Pennsylvania",17,19,,19,19,,18,17,17,17,,,,16
"Mount Marty University - South Dakota",17,18,18,19,18,19,19,20,19,19,19,19,18,19
"University of New Mexico-Main Campus - New Mexico",17,19,19,19,19,19,20,19,19,19,19,19,19,19
"Oak Hills Christian College - Minnesota",17,14,16,4,16,18,18,16,16,19,17,15,17,18
"University of South Carolina Beaufort - South Carolina",17,17,17,17,18,17,17,18,18,17,18,17,18,16
"The University of Texas Rio Grande Valley - Texas",17,17,17,17,18,17,18,18,18,17,17,17,16,16
"University of La Verne - California",17,19,20,19,20,20,20,20,19,18,18,17,18,18
"Southeastern Oklahoma State University - Oklahoma",17,18,18,18,18,18,18,18,18,18,18,18,18,18
"Hawaii Pacific University - Hawaii",17,18,19,20,,,,19,18,18,18,18,17,17
"Texas A & M University-Kingsville - Texas",17,17,17,17,17,17,17,16,16,15,16,16,14,
"Texas A&M University-Texarkana - Texas",17,19,19,19,20,19,16,19,19,18,,,,
"Texas Southern University - Texas",17,15,15,15,15,15,15,15,15,15,13,13,,
"Immaculata University - Pennsylvania",17,18,21,17,18,20,17,18,17,16,,17,19,
"University of Bridgeport - Connecticut",17,19,16,18,18,18,16,18,18,17,,,,
"Lamar University - Texas",17,17,18,18,18,18,18,18,16,17,16,16,16,16
"Marian University - Wisconsin",17,17,17,17,17,17,17,18,17,18,17,18,18,18
"Manhattan Christian College - Kansas",17,17,19,18,19,19,19,20,,,,,,
"Indiana University-Northwest - Indiana",17,17,18,17,18,17,17,17,17,16,16,16,16,16
"Young Harris College - Georgia",17,18,18,20,18,18,,18,,,,,,
"The Baptist College of Florida - Florida",17,15,17,17,17,17,17,20,18,17,17,16,16,17
"Texas A & M University-Commerce - Texas",17,18,17,18,18,18,17,18,18,18,16,17,17,16
"Madonna University - Michigan",17,18,19,19,18,20,19,19,,20,20,20,20,20
"Indiana University-Southeast - Indiana",17,17,17,17,17,18,18,17,18,18,17,18,18,17
"Iowa Wesleyan University - Iowa",17,19,19,18,17,18,18,19,18,18,17,17,15,16
"Jackson State University - Mississippi",17,17,17,17,17,17,17,17,17,17,16,16,16,17
"Lourdes University - Ohio",17,17,18,18,18,18,18,,,,,,,
"Winston-Salem State University - North Carolina",17,16,16,16,17,17,16,16,16,16,15,15,16,16
"Trinity Baptist College - Florida",17,16,15,16,16,15,16,14,15,15,16,17,16,18
"Union College - Kentucky",17,17,18,17,18,18,18,19,18,19,17,17,17,17
"Rochester University - Michigan",17,17,17,16,18,17,18,18,19,18,18,19,,
"Johnson University Florida - Florida",17,17,16,17,18,17,17,17,18,17,,,14,
"The University of Tennessee Southern - Tennessee",17,17,18,18,,,,,,,17,17,,
"Judson University - Illinois",17,19,19,19,19,21,20,18,21,21,20,,,
"Truett McConnell University - Georgia",17,17,17,18,18,18,18,17,17,16,15,15,16,15
"University of Akron Wayne College - Ohio",17,,,,,,,,,,,,,
"Adams State University - Colorado",17,17,17,17,17,17,17,17,18,17,17,17,17,17
"Massachusetts College of Liberal Arts - Massachusetts",17,18,19,19,20,21,19,20,19,19,20,20,20,
"Kutztown University of Pennsylvania - Pennsylvania",17,18,18,18,18,17,17,18,17,17,17,18,18,18
"Bethel College-North Newton - Kansas",17,18,18,,,,19,19,20,20,21,20,21,21
"Bethany College - Kansas",17,18,18,18,18,18,18,18,18,19,20,19,19,18
"Felician University - New Jersey",17,15,15,17,16,15,15,15,14,14,17,16,,
"Thiel College - Pennsylvania",17,15,15,17,16,17,19,18,18,18,18,17,17,16
"Point University - Georgia",17,16,16,16,17,17,17,18,,17,18,15,16,17
"Barton College - North Carolina",17,18,17,18,17,18,17,18,16,18,17,16,17,16
"University of the Incarnate Word - Texas",17,17,17,17,17,18,18,18,18,17,18,17,16,17
"Florida School of Traditional Midwifery - Florida",17,,,,,,,,,,,,,
"Fontbonne University - Missouri",17,18,18,20,20,20,20,21,20,20,20,19,18,18
"Portland State University - Oregon",17,18,18,19,19,19,19,,,,,,,
"Salem College - North Carolina",17,16,21,23,22,21,21,22,21,19,22,22,20,20
"La Roche University - Pennsylvania",17,17,16,18,17,17,16,17,18,17,17,16,15,15
"Rutgers University-Camden - New Jersey",17,18,17,,,,,,,,,,,
"Lewis-Clark State College - Idaho",17,16,17,17,18,18,17,18,18,17,17,17,17,17
"Augsburg University - Minnesota",17,18,19,19,19,19,20,20,23,20,19,19,19,20
"Frostburg State University - Maryland",17,17,17,17,18,17,18,18,18,17,17,17,17,17
"Guilford College - North Carolina",17,17,,,,,,20,21,21,20,21,21,20
"Greenville University - Illinois",17,18,18,19,18,19,20,19,19,19,20,19,20,19
"Presentation College - South Dakota",17,17,18,18,18,18,18,18,17,17,19,17,17,16
"University of Dubuque - Iowa",17,17,16,16,17,17,17,17,18,18,18,18,17,18
"Georgian Court University - New Jersey",17,19,17,17,17,,,,,,,,,
"SUNY College of Technology at Canton - New York",17,18,17,17,17,,,,,,,,,
"Governors State University - Illinois",17,17,16,17,17,17,17,,,,,,,
"Saint Martin's University - Washington",17,17,18,18,20,21,20,19,19,19,16,17,19,19
"Arizona Christian University - Arizona",17,15,17,15,18,19,19,20,19,19,20,17,,
"Angelo State University - Texas",17,17,17,17,18,18,18,18,18,18,18,17,17,17
"Rosemont College - Pennsylvania",16,16,16,16,16,15,23,19,18,,,,,
"Abraham Baldwin Agricultural College - Georgia",16,17,17,17,17,17,17,16,13,17,,,,
"Castleton University - Vermont",16,18,18,17,17,18,18,17,18,18,17,17,18,
"The University of Texas Permian Basin - Texas",16,17,17,17,18,18,18,19,19,19,18,18,18,19
"University of Washington-Tacoma Campus - Washington",16,16,16,18,17,16,18,17,18,18,16,16,16,
"Southeastern Baptist College - Mississippi",16,,,,,,,,,,,,,
"Oakland City University - Indiana",16,16,16,18,18,17,18,19,16,18,18,17,17,18
"Alcorn State University - Mississippi",16,16,17,17,16,16,16,16,16,16,16,16,16,16
"California State University-Northridge - California",16,16,16,17,16,16,16,16,16,16,16,16,16,15
"California State University-Fresno - California",16,16,16,16,16,16,16,16,16,16,16,16,16,16
"Alice Lloyd College - Kentucky",16,18,18,18,18,19,19,18,18,20,18,18,17,18
"Bethel University - Tennessee",16,16,16,16,17,17,17,17,18,16,17,17,17,17
"Caldwell University - New Jersey",16,17,17,17,18,18,17,16,17,17,,17,17,
"Andrew College - Georgia",16,14,14,15,,,17,15,15,15,14,14,14,14
"Saint Mary-of-the-Woods College - Indiana",16,17,16,18,17,19,17,15,18,19,20,18,19,18
